DLP,DLPC,name,store,color,code,category,total_inventory,total_quantity,date
SW-APPLE-SE 2023-44m,SW-APPLE-SE 2023-GLD,ساعت هوشمند اپل SE 2023 طلایی/شرکتی/A/44m/(R),اپل چارسو,طلایی,1080150042402592,ساعت هوشمند,2,1,1403/06/11
SW-APPLE-SE 2023-44m,SW-APPLE-SE 2023-GLD,ساعت هوشمند اپل SE 2023 طلایی/شرکتی/A/44m/(R),اپل چارسو,طلایی,1080150042402592,ساعت هوشمند,2,1,1403/06/18
SW-APPLE-SE 2023-44m,SW-APPLE-SE 2023-GLD,ساعت هوشمند اپل SE 2023 طلایی/شرکتی/A/44m/(R),اپل چارسو,طلایی,1080150042402592,ساعت هوشمند,2,1,1403/06/22
SW-APPLE-SE 2023-44m,SW-APPLE-SE 2023-GLD,ساعت هوشمند اپل SE 2023 طلایی/شرکتی/A/44m/(R),اپل چارسو,طلایی,1080150042402592,ساعت هوشمند,2,1,1403/06/26
SW-APPLE-SE 2023-44m,SW-APPLE-SE 2023-GLD,ساعت هوشمند اپل SE 2023 طلایی/شرکتی/A/44m/(R),اپل چارسو,طلایی,1080150042402592,ساعت هوشمند,2,1,1403/07/05
SW-APPLE-SE 2023-44m,SW-APPLE-SE 2023-GLD,ساعت هوشمند اپل SE 2023 طلایی/شرکتی/A/44m/(R),اپل چارسو,طلایی,1080150042402592,ساعت هوشمند,2,1,1403/07/08
SW-APPLE-SE 2023-44m,SW-APPLE-SE 2023-GLD,ساعت هوشمند اپل SE 2023 طلایی/شرکتی/A/44m/(R),اپل چارسو,طلایی,1080150042402592,ساعت هوشمند,2,1,1403/07/16
SW-APPLE-SE 2023-44m,SW-APPLE-SE 2023-GLD,ساعت هوشمند اپل SE 2023 طلایی/شرکتی/A/44m/(R),اپل چارسو,طلایی,1080150042402592,ساعت هوشمند,2,1,1403/07/16
SW-APPLE-SE 2023-44m,SW-APPLE-SE 2023-GLD,ساعت هوشمند اپل SE 2023 طلایی/شرکتی/A/44m/(R),سایت,طلایی,1080150042402592,ساعت هوشمند,0,1,1403/06/07
SW-APPLE-SE 2023-44m,SW-APPLE-SE 2023-GLD,ساعت هوشمند اپل SE 2023 طلایی/شرکتی/A/44m/(R),صادقیه,طلایی,1080150042402592,ساعت هوشمند,1,0,
